target,deepest_level,set
Solyc03g083360.3.1,7,drought
Solyc03g120470.4.1,1,drought
Solyc04g014510.3.1,0,drought
Solyc05g009820.5.1,1,drought
Solyc06g051960.3.1,7,drought
Solyc07g052980.3.1,7,drought
Solyc07g053540.1.1,9,drought
Solyc08g005800.4.1,1,drought
Solyc08g083280.3.1,7,drought
Solyc09g075460.3.1,8,drought
Solyc11g071640.3.1,1,drought
Solyc12g009650.2.1,11,drought
Solyc01g065840.4.1,13,heat
Solyc01g095320.4.1,9,heat
Solyc01g101070.3.1,1,heat
Solyc01g102960.3.1,8,heat
Solyc01g104740.3.1,1,heat
Solyc02g030450.3.1,1,heat
Solyc02g062130.5.1,0,heat
Solyc02g079020.4.1,11,heat
Solyc02g080130.5.1,1,heat
Solyc03g063760.4.1,1,heat
Solyc03g082420.3.1,5,heat
Solyc03g083190.3.1,8,heat
Solyc03g097960.1.1,9,heat
Solyc03g113590.3.1,1,heat
Solyc03g113930.3.1,8,heat
Solyc03g117440.3.1,1,heat
Solyc04g011440.4.1,0,heat
Solyc04g014480.3.1,7,heat
Solyc04g054290.3.1,1,heat
Solyc05g014280.4.1,8,heat
Solyc05g055010.4.1,6,heat
Solyc06g011370.4.1,0,heat
Solyc06g036290.3.1,0,heat
Solyc06g076520.1.1,7,heat
Solyc06g076560.2.1,7,heat
Solyc06g076670.3.1,8,heat
Solyc06g150138.1.1,16,heat
Solyc07g065410.1.1,14,heat
Solyc08g005420.3.1,1,heat
Solyc08g006150.3.1,1,heat
Solyc08g062340.3.1,4,heat
Solyc08g066940.4.1,10,heat
Solyc08g067960.3.1,1,heat
Solyc08g078700.3.1,9,heat
Solyc09g007270.3.1,1,heat
Solyc09g008970.1.1,9,heat
Solyc09g011410.4.1,13,heat
Solyc09g015000.4.1,1,heat
Solyc10g006610.5.1,0,heat
Solyc10g081480.2.1,6,heat
Solyc10g084400.2.1,1,heat
Solyc11g020040.2.1,0,heat
Solyc11g066100.2.1,0,heat
Solyc11g066830.2.1,1,heat
Solyc11g070060.2.1,1,heat
Solyc11g071830.2.1,1,heat
Solyc01g102950.3.1,1,heat
Solyc01g103760.3.1,1,heat
Solyc03g096950.4.1,1,heat
Solyc04g080850.3.1,1,heat
Solyc06g082710.5.1,10,heat
Solyc07g006830.4.1,5,heat
Solyc08g063090.2.1,1,heat
Solyc09g091510.3.1,0,heat
Solyc10g011810.4.1,1,heat
Solyc10g012410.3.1,0,heat
Solyc12g055930.3.1,1,heat
Solyc00g500031.1.1,16,random
Solyc00g160320.1.1,10,random
Solyc00g500130.1.1,16,random
Solyc00g021660.1.1,16,random
Solyc00g020030.1.1,16,random
Solyc00g500292.1.1,16,random
Solyc00g500300.1.1,10,random
Solyc00g160120.1.1,13,random
Solyc00g160150.1.1,16,random
Solyc00g500390.1.1,16,random
Solyc01g005980.4.1,8,random
Solyc01g006050.2.1,5,random
Solyc01g007130.3.1,8,random
Solyc01g007750.3.1,9,random
Solyc01g008290.3.1,1,random
Solyc01g009690.3.1,10,random
Solyc01g010140.1.1,13,random
Solyc01g011110.1.1,16,random
Solyc01g011350.3.1,8,random
Solyc01g013970.1.1,16,random
Solyc01g160840.1.1,9,random
Solyc01g015080.3.1,8,random
Solyc01g017020.1.1,16,random
Solyc01g017450.1.1,16,random
Solyc01g017610.1.1,1,random
Solyc01g017825.1.1,15,random
Solyc01g017860.3.1,16,random
Solyc01g020521.1.1,16,random
Solyc01g044490.5.1,1,random
Solyc01g161790.1.1,1,random
Solyc01g049720.1.1,16,random
Solyc01g160500.1.1,16,random
Solyc01g057960.3.1,3,random
Solyc01g058175.1.1,16,random
Solyc01g058320.4.1,11,random
Solyc01g162210.1.1,16,random
Solyc01g162480.1.1,16,random
Solyc01g066190.1.1,15,random
Solyc01g066775.1.1,16,random
Solyc01g067370.3.1,12,random
Solyc01g068100.4.1,7,random
Solyc01g080340.4.1,9,random
Solyc01g081450.3.1,7,random
Solyc01g074010.5.1,5,random
Solyc01g087810.2.1,12,random
Solyc01g090693.1.1,9,random
Solyc01g091240.4.1,9,random
Solyc01g091310.3.1,1,random
Solyc01g094460.3.1,8,random
Solyc01g094860.4.1,3,random
Solyc01g095950.1.1,14,random
Solyc01g097570.2.1,11,random
Solyc01g097700.1.1,13,random
Solyc01g160640.1.1,12,random
Solyc01g098490.3.1,1,random
Solyc01g098980.5.1,10,random
Solyc01g100910.3.1,9,random
Solyc01g104660.3.1,10,random
Solyc01g107030.3.1,16,random
Solyc01g107390.4.1,0,random
Solyc01g108350.5.1,7,random
Solyc01g108930.3.1,6,random
Solyc01g109030.4.1,11,random
Solyc01g109220.4.1,16,random
Solyc01g109450.3.1,1,random
Solyc02g043970.1.1,16,random
Solyc02g005210.3.1,1,random
Solyc02g011900.1.1,16,random
Solyc02g012000.1.1,10,random
Solyc02g021490.1.1,5,random
Solyc02g023980.4.1,1,random
Solyc02g030375.1.1,16,random
Solyc02g032000.1.1,14,random
Solyc02g033100.3.1,10,random
Solyc02g036280.3.1,10,random
Solyc02g038650.1.1,1,random
Solyc02g062550.3.1,10,random
Solyc02g063090.3.1,0,random
Solyc02g064640.4.1,0,random
Solyc02g066980.1.1,8,random
Solyc02g067160.4.1,8,random
Solyc02g068590.3.1,1,random
Solyc02g070550.3.1,8,random
Solyc02g070910.3.1,9,random
Solyc02g071350.3.1,1,random
Solyc02g072570.2.1,9,random
Solyc02g076970.2.1,1,random
Solyc02g077500.2.1,16,random
Solyc02g077640.1.1,6,random
Solyc02g077730.3.1,9,random
Solyc02g078430.3.1,7,random
Solyc02g078590.1.1,7,random
Solyc02g078790.4.1,8,random
Solyc02g078850.1.1,11,random
Solyc02g080110.3.1,10,random
Solyc02g150131.2.1,13,random
Solyc02g081430.3.1,8,random
Solyc02g082120.3.1,7,random
Solyc02g082920.5.1,0,random
Solyc02g083130.4.1,9,random
Solyc02g083765.1.1,16,random
Solyc02g084720.3.1,1,random
Solyc02g085500.5.1,8,random
Solyc02g085550.3.1,8,random
Solyc02g087030.1.1,10,random
Solyc02g087130.4.1,11,random
Solyc02g087750.3.1,16,random
Solyc02g087850.1.1,9,random
Solyc02g088690.5.1,0,random
Solyc02g089600.3.1,6,random
Solyc02g090393.1.1,16,random
Solyc02g091985.1.1,16,random
Solyc02g092910.3.1,1,random
Solyc02g093050.3.1,10,random
Solyc02g093180.3.1,9,random
Solyc02g093350.3.1,2,random
Solyc02g093410.4.1,16,random
Solyc02g094740.1.1,7,random
Solyc03g005480.4.1,8,random
Solyc03g005990.3.1,9,random
Solyc03g006470.4.1,5,random
Solyc03g006490.3.1,9,random
Solyc03g006640.3.1,10,random
Solyc03g006990.1.1,9,random
Solyc03g007490.3.1,3,random
Solyc03g007640.1.1,15,random
Solyc03g026160.4.1,5,random
Solyc03g026200.4.1,5,random
Solyc03g026240.4.1,11,random
Solyc03g026416.1.1,14,random
Solyc03g031480.3.1,15,random
Solyc03g042560.3.1,1,random
Solyc03g150114.1.1,10,random
Solyc03g160200.1.1,9,random
Solyc03g046350.3.1,12,random
Solyc03g058260.1.1,10,random
Solyc03g058855.1.1,16,random
Solyc03g062890.3.1,0,random
Solyc03g063200.3.1,2,random
Solyc03g063300.1.1,16,random
Solyc03g161030.1.1,13,random
Solyc03g078200.3.1,7,random
Solyc03g078640.1.1,8,random
Solyc03g082530.1.1,9,random
Solyc03g082570.5.1,1,random
Solyc03g082890.4.1,1,random
Solyc03g083830.1.1,13,random
Solyc03g083835.2.1,10,random
Solyc03g093890.3.1,13,random
Solyc03g096120.1.1,16,random
Solyc03g096610.3.1,9,random
Solyc03g097150.3.1,1,random
Solyc03g098190.3.1,7,random
Solyc03g020070.5.1,1,random
Solyc03g112400.1.1,16,random
Solyc03g112410.2.1,1,random
Solyc03g112660.3.1,5,random
Solyc03g113680.4.1,9,random
Solyc03g113800.3.1,1,random
Solyc03g117120.4.1,1,random
Solyc03g117680.4.1,9,random
Solyc03g117880.1.1,16,random
Solyc03g117910.3.1,11,random
Solyc03g118350.4.1,1,random
Solyc03g118790.3.1,7,random
Solyc03g119580.1.1,13,random
Solyc03g120190.3.1,9,random
Solyc03g121590.3.1,1,random
Solyc04g005390.3.1,11,random
Solyc04g007310.2.1,0,random
Solyc04g007730.3.1,3,random
Solyc04g009290.1.1,9,random
Solyc04g010310.4.1,5,random
Solyc04g014740.3.1,10,random
Solyc04g014887.2.1,12,random
Solyc04g015950.3.1,5,random
Solyc04g016030.1.1,11,random
Solyc04g017670.3.1,7,random
Solyc04g040190.1.1,0,random
Solyc04g040090.4.1,1,random
Solyc04g040010.3.1,7,random
Solyc04g039930.4.1,1,random
Solyc04g160460.1.1,15,random
Solyc04g028390.1.1,1,random
Solyc04g026340.3.1,16,random
Solyc04g026020.3.1,10,random
Solyc04g025375.1.1,9,random
Solyc04g160350.1.1,1,random
Solyc04g161370.1.1,10,random
Solyc04g053050.4.1,9,random
Solyc04g056440.3.1,1,random
Solyc04g057900.1.1,15,random
Solyc04g057940.4.1,5,random
Solyc04g058160.2.1,8,random
Solyc04g071300.3.1,1,random
Solyc04g074690.3.1,5,random
Solyc04g075016.1.1,16,random
Solyc04g076270.1.1,16,random
Solyc04g076530.3.1,10,random
Solyc04g077640.4.1,8,random
Solyc04g077800.1.1,16,random
Solyc04g077880.1.1,15,random
Solyc04g078195.1.1,6,random
Solyc04g078640.3.1,12,random
Solyc04g080860.1.1,16,random
Solyc04g081340.3.1,10,random
Solyc04g081590.5.1,16,random
Solyc05g005250.3.1,1,random
Solyc05g005330.3.1,12,random
Solyc05g005880.2.1,0,random
Solyc05g008100.1.1,11,random
Solyc05g009020.4.1,1,random
Solyc05g009410.3.1,9,random
Solyc05g009710.4.1,5,random
Solyc05g010685.1.1,16,random
Solyc05g012170.3.1,13,random
Solyc05g012260.3.1,1,random
Solyc05g012710.4.1,16,random
Solyc05g013340.3.1,1,random
Solyc05g014130.3.1,11,random
Solyc05g014190.4.1,1,random
Solyc05g014530.1.1,1,random
Solyc05g014570.1.1,16,random
Solyc05g014700.3.1,0,random
Solyc05g014847.1.1,15,random
Solyc05g150113.1.1,1,random
Solyc05g014970.3.1,0,random
Solyc05g015690.1.1,16,random
Solyc05g018650.4.1,0,random
Solyc05g020000.1.1,15,random
Solyc05g162390.1.1,1,random
Solyc05g161310.1.1,11,random
Solyc05g026260.1.1,16,random
Solyc05g041145.1.1,16,random
Solyc05g045826.1.1,9,random
Solyc05g160100.1.1,11,random
Solyc05g051360.1.1,10,random
Solyc05g052600.4.1,0,random
Solyc05g054690.3.1,16,random
Solyc05g055040.3.1,3,random
Solyc05g055460.1.1,10,random
Solyc05g056150.4.1,0,random
Solyc05g056280.2.1,16,random
Solyc06g007540.3.1,2,random
Solyc06g007640.3.1,4,random
Solyc06g008610.3.1,10,random
Solyc06g008820.3.1,1,random
Solyc06g009470.1.1,16,random
Solyc06g033850.3.1,16,random
Solyc06g034073.2.1,1,random
Solyc06g036020.1.1,16,random
Solyc06g043010.1.1,16,random
Solyc06g049050.3.1,4,random
Solyc06g050920.5.1,8,random
Solyc06g051090.3.1,5,random
Solyc06g051810.5.1,5,random
Solyc06g052100.3.1,8,random
Solyc06g054220.2.1,16,random
Solyc06g054670.2.1,12,random
Solyc06g059880.3.1,1,random
Solyc06g060080.3.1,7,random
Solyc06g064770.1.1,16,random
Solyc06g064960.3.1,6,random
Solyc06g065140.3.1,10,random
Solyc06g065760.1.1,16,random
Solyc06g066570.4.1,1,random
Solyc06g068630.5.1,10,random
Solyc06g071180.3.1,12,random
Solyc06g071430.3.1,2,random
Solyc06g071570.3.1,1,random
Solyc06g074140.1.1,9,random
Solyc06g075460.4.1,8,random
Solyc06g076130.3.1,10,random
Solyc06g082150.4.1,9,random
Solyc06g082510.3.1,9,random
Solyc06g084530.3.1,3,random
Solyc07g005975.1.1,16,random
Solyc07g006790.3.1,1,random
Solyc07g007650.3.1,8,random
Solyc07g007735.1.1,10,random
Solyc07g008620.1.1,10,random
Solyc07g009040.3.1,13,random
Solyc00g135260.3.1,7,random
Solyc07g009580.2.1,9,random
Solyc07g014583.1.1,16,random
Solyc07g015900.3.1,10,random
Solyc00g084760.2.1,13,random
Solyc07g018020.1.1,16,random
Solyc12g035555.2.1,10,random
Solyc07g160040.1.1,16,random
Solyc07g026900.1.1,1,random
Solyc07g160060.1.1,10,random
Solyc07g039210.4.1,1,random
Solyc07g039500.4.1,9,random
Solyc07g040900.3.1,9,random
Solyc07g041830.5.1,10,random
Solyc07g042180.5.1,16,random
Solyc07g042810.3.1,5,random
Solyc07g043160.1.1,11,random
Solyc07g047745.1.1,10,random
Solyc07g049490.3.1,8,random
Solyc07g049570.3.1,0,random
Solyc07g049740.4.1,0,random
Solyc07g051845.1.1,16,random
Solyc07g051890.1.1,10,random
Solyc07g052330.3.1,1,random
Solyc07g052530.3.1,8,random
Solyc07g055220.3.1,7,random
Solyc07g055300.3.1,1,random
Solyc07g055390.1.1,12,random
Solyc07g055750.4.1,1,random
Solyc07g062080.4.1,12,random
Solyc07g064040.3.1,9,random
Solyc07g064200.4.1,5,random
Solyc07g065180.3.1,2,random
Solyc07g065650.2.1,7,random
Solyc08g005750.3.1,7,random
Solyc08g006253.1.1,14,random
Solyc08g007010.4.1,1,random
Solyc08g007310.3.1,5,random
Solyc08g007590.3.1,0,random
Solyc08g008160.4.1,2,random
Solyc08g160030.1.1,13,random
Solyc08g048540.2.1,2,random
Solyc08g048460.2.1,0,random
Solyc08g160500.1.1,6,random
Solyc08g045770.1.1,16,random
Solyc08g045620.1.1,16,random
Solyc08g044610.4.1,0,random
Solyc08g023550.1.1,16,random
Solyc08g160830.1.1,16,random
Solyc08g021980.2.1,13,random
Solyc08g059690.1.1,16,random
Solyc08g059740.1.1,5,random
Solyc08g161450.1.1,9,random
Solyc08g065870.4.1,6,random
Solyc08g074500.2.1,1,random
Solyc08g074913.1.1,8,random
Solyc08g074950.2.1,1,random
Solyc08g076595.2.1,8,random
Solyc08g077020.1.1,7,random
Solyc08g077740.1.1,15,random
Solyc08g078800.1.1,11,random
Solyc08g078900.1.1,11,random
Solyc08g079100.3.1,11,random
Solyc08g080690.4.1,13,random
Solyc08g081700.1.1,11,random
Solyc08g082240.1.1,10,random
Solyc08g150148.1.1,12,random
Solyc08g082690.2.1,16,random
Solyc08g083290.4.1,9,random
Solyc09g005010.4.1,1,random
Solyc09g005790.1.1,5,random
Solyc09g008440.1.1,11,random
Solyc09g009370.4.1,2,random
Solyc09g010120.2.1,16,random
Solyc09g010150.5.1,4,random
Solyc09g011740.4.1,2,random
Solyc09g011790.3.1,5,random
Solyc09g014560.2.1,10,random
Solyc09g015085.1.1,16,random
Solyc09g015245.1.1,16,random
Solyc09g015585.1.1,16,random
Solyc09g018280.1.1,9,random
Solyc09g019990.1.1,16,random
Solyc09g031890.3.1,2,random
Solyc09g050068.1.1,16,random
Solyc09g160750.1.1,16,random
Solyc09g055710.3.1,16,random
Solyc09g058980.3.1,16,random
Solyc09g059600.4.1,2,random
Solyc09g150135.1.1,16,random
Solyc09g061791.2.1,1,random
Solyc09g064450.3.1,1,random
Solyc09g056185.2.1,9,random
Solyc09g065080.2.1,2,random
Solyc09g065410.5.1,13,random
Solyc09g072650.4.1,3,random
Solyc09g161630.1.1,13,random
Solyc09g072980.2.1,1,random
Solyc09g075200.5.1,1,random
Solyc09g075280.2.1,1,random
Solyc09g075500.3.1,13,random
Solyc09g082980.3.1,11,random
Solyc09g161800.1.1,16,random
Solyc09g091887.2.1,12,random
Solyc09g092280.1.1,10,random
Solyc09g150158.1.1,16,random
Solyc09g097900.3.1,1,random
Solyc10g005140.1.1,8,random
Solyc10g005870.4.1,9,random
Solyc10g006173.1.1,13,random
Solyc10g006270.5.1,1,random
Solyc10g007010.1.1,1,random
Solyc10g007420.4.1,16,random
Solyc10g008510.3.1,8,random
Solyc10g008530.1.1,6,random
Solyc10g008860.1.1,10,random
Solyc10g009350.4.1,11,random
Solyc10g024460.1.1,16,random
Solyc10g036840.1.1,16,random
Solyc10g037870.1.1,16,random
Solyc10g160720.1.1,16,random
Solyc10g062070.1.1,9,random
Solyc10g044780.2.1,3,random
Solyc10g047590.3.1,9,random
Solyc10g047960.3.1,5,random
Solyc10g047980.3.1,1,random
Solyc10g048070.2.1,16,random
Solyc10g048150.3.1,16,random
Solyc10g049917.1.1,16,random
Solyc10g050050.1.1,16,random
Solyc10g050140.1.1,13,random
Solyc10g050457.1.1,10,random
Solyc10g161810.1.1,10,random
Solyc10g054050.3.1,8,random
Solyc10g054560.2.1,1,random
Solyc10g054620.1.1,16,random
Solyc10g162420.1.1,15,random
Solyc10g055130.2.1,7,random
Solyc10g074640.3.1,10,random
Solyc10g074700.2.1,1,random
Solyc10g075173.1.1,15,random
Solyc10g079570.3.1,11,random
Solyc10g079700.2.1,8,random
Solyc10g079990.3.1,0,random
Solyc10g081880.3.1,8,random
Solyc10g084520.1.1,16,random
Solyc10g084770.3.1,10,random
Solyc10g085320.2.1,9,random
Solyc11g007060.2.1,11,random
Solyc11g008150.3.1,8,random
Solyc11g010630.4.1,8,random
Solyc11g011410.3.1,7,random
Solyc11g011440.1.1,8,random
Solyc11g013310.2.1,2,random
Solyc11g017460.3.1,7,random
Solyc11g020437.1.1,10,random
Solyc11g020503.1.1,16,random
Solyc11g020507.1.1,11,random
Solyc11g160430.1.1,9,random
Solyc11g021080.3.1,10,random
Solyc11g050790.1.1,10,random
Solyc11g160600.1.1,16,random
Solyc11g028140.1.1,10,random
Solyc11g045332.2.1,2,random
Solyc11g161150.1.1,13,random
Solyc11g150133.1.1,16,random
Solyc11g042770.1.1,14,random
Solyc11g042460.2.1,0,random
Solyc11g061835.2.1,10,random
Solyc11g064775.1.1,16,random
Solyc11g066850.3.1,5,random
Solyc11g068765.2.1,10,random
Solyc11g069450.1.1,10,random
Solyc11g070183.1.1,9,random
Solyc11g072140.3.1,11,random
Solyc11g073055.1.1,13,random
Solyc12g005000.1.1,13,random
Solyc12g005120.2.1,1,random
Solyc12g005783.1.1,10,random
Solyc12g007070.2.1,10,random
Solyc12g008590.3.1,1,random
Solyc12g010420.1.1,10,random
Solyc12g013570.2.1,10,random
Solyc12g013790.3.1,15,random
Solyc12g015770.3.1,7,random
Solyc12g015890.1.1,16,random
Solyc12g162280.1.1,10,random
Solyc12g019050.2.1,9,random
Solyc12g160780.1.1,16,random
Solyc12g027820.1.1,9,random
Solyc12g062650.1.1,16,random
Solyc12g033040.1.1,0,random
Solyc12g036283.1.1,16,random
Solyc12g036300.3.1,8,random
Solyc12g036430.3.1,9,random
Solyc12g036810.3.1,10,random
Solyc12g040450.2.1,16,random
Solyc12g042797.1.1,8,random
Solyc12g044590.1.1,16,random
Solyc12g160260.1.1,16,random
Solyc12g049140.1.1,13,random
Solyc12g049590.2.1,1,random
Solyc12g055730.3.1,6,random
Solyc12g056130.2.1,4,random
Solyc12g056700.2.1,1,random
Solyc12g088320.2.1,1,random
Solyc12g088830.3.1,7,random
Solyc12g094490.2.1,7,random
Solyc12g096050.2.1,3,random
Solyc12g096220.2.1,14,random
Solyc12g096580.2.1,1,random
Solyc12g096770.1.1,12,random
Solyc12g098160.2.1,3,random
Solyc12g099040.2.1,10,random
Solyc12g099070.1.1,1,random
Solyc12g099520.3.1,7,random
Solyc12g099560.2.1,2,random
Solyc12g099900.1.1,5,random
Solyc01g007110.3.1,5,salt
Solyc01g067740.3.1,0,salt
Solyc01g080910.2.1,7,salt
Solyc01g087180.5.1,8,salt
Solyc01g090740.3.1,8,salt
Solyc01g095140.5.1,5,salt
Solyc01g096320.3.1,11,salt
Solyc01g099800.4.1,16,salt
Solyc01g099810.3.1,16,salt
Solyc01g102960.3.1,8,salt
Solyc01g103920.3.1,1,salt
Solyc01g103970.4.1,10,salt
Solyc01g104740.3.1,1,salt
Solyc01g105660.4.1,8,salt
Solyc01g107700.4.1,1,salt
Solyc01g108080.4.1,10,salt
Solyc01g112230.4.1,6,salt
Solyc02g077040.4.1,1,salt
Solyc02g077980.3.1,13,salt
Solyc02g079930.3.1,1,salt
Solyc02g081550.3.1,1,salt
Solyc02g082450.3.1,1,salt
Solyc02g083280.5.1,9,salt
Solyc02g084850.3.1,11,salt
Solyc02g084980.3.1,1,salt
Solyc02g086530.4.1,1,salt
Solyc02g087890.4.1,13,salt
Solyc02g088610.4.1,0,salt
Solyc02g091250.1.1,11,salt
Solyc02g091390.3.1,2,salt
Solyc02g092760.3.1,16,salt
Solyc02g093180.3.1,9,salt
Solyc03g007230.4.1,3,salt
Solyc03g007960.3.1,6,salt
Solyc03g046380.1.1,5,salt
Solyc03g013160.5.1,1,salt
Solyc03g095650.3.1,2,salt
Solyc03g096670.3.1,9,salt
Solyc03g098100.4.1,1,salt
Solyc03g111100.1.1,8,salt
Solyc03g112080.1.1,1,salt
Solyc03g114160.1.1,8,salt
Solyc03g115230.3.1,0,salt
Solyc03g116390.5.1,10,salt
Solyc03g116590.3.1,10,salt
Solyc03g117800.4.1,1,salt
Solyc03g121880.5.1,11,salt
Solyc03g122310.4.1,0,salt
Solyc03g123540.3.1,7,salt
Solyc04g005250.4.1,9,salt
Solyc04g005380.3.1,10,salt
Solyc04g006960.3.1,1,salt
Solyc04g007130.1.1,9,salt
Solyc04g011440.4.1,0,salt
Solyc04g014600.3.1,3,salt
Solyc04g015520.3.1,8,salt
Solyc04g072890.4.1,1,salt
Solyc04g076340.3.1,9,salt
Solyc04g077220.3.1,8,salt
Solyc04g078840.3.1,8,salt
Solyc04g079300.3.1,1,salt
Solyc04g081900.4.1,7,salt
Solyc05g007950.5.1,1,salt
Solyc05g012210.4.1,10,salt
Solyc05g160260.1.1,9,salt
Solyc05g015390.3.1,9,salt
Solyc05g015470.1.1,7,salt
Solyc05g050220.3.1,8,salt
Solyc06g009050.3.1,7,salt
Solyc06g050130.3.1,1,salt
Solyc06g050800.5.1,1,salt
Solyc06g050980.3.1,1,salt
Solyc06g052020.2.1,11,salt
Solyc06g060840.1.1,5,salt
Solyc06g065050.2.1,8,salt
Solyc06g066600.3.1,1,salt
Solyc06g067980.3.1,13,salt
Solyc06g071750.3.1,13,salt
Solyc06g072430.3.1,10,salt
Solyc06g074260.4.1,8,salt
Solyc06g074940.5.1,1,salt
Solyc06g076400.3.1,10,salt
Solyc06g076520.1.1,7,salt
Solyc06g076560.2.1,7,salt
Solyc06g076570.4.1,7,salt
Solyc06g076670.3.1,8,salt
Solyc06g082440.1.1,11,salt
Solyc06g084170.3.1,15,salt
Solyc06g084320.1.1,8,salt
Solyc07g005210.3.1,1,salt
Solyc07g006130.3.1,0,salt
Solyc07g006140.4.1,1,salt
Solyc07g006860.3.1,9,salt
Solyc07g040990.4.1,11,salt
Solyc07g043590.3.1,1,salt
Solyc07g045140.4.1,3,salt
Solyc07g150145.2.1,16,salt
Solyc07g053550.3.1,8,salt
Solyc07g054270.3.1,7,salt
Solyc07g055660.2.1,7,salt
Solyc07g055840.3.1,0,salt
Solyc07g056430.3.1,7,salt
Solyc07g062530.3.1,0,salt
Solyc07g062970.3.1,0,salt
Solyc08g062220.3.1,10,salt
Solyc08g062340.3.1,4,salt
Solyc08g075020.3.1,1,salt
Solyc08g076880.3.1,10,salt
Solyc08g078040.4.1,1,salt
Solyc08g078160.3.1,5,salt
Solyc08g080940.3.1,1,salt
Solyc08g083130.5.1,11,salt
Solyc09g007270.3.1,1,salt
Solyc09g011370.3.1,5,salt
Solyc09g015670.3.1,2,salt
Solyc09g064820.1.1,8,salt
Solyc09g065560.3.1,1,salt
Solyc09g089650.1.1,10,salt
Solyc09g091030.3.1,0,salt
Solyc09g098590.4.1,16,salt
Solyc10g008040.5.1,15,salt
Solyc10g075070.3.1,9,salt
Solyc10g078770.2.1,9,salt
Solyc10g079150.3.1,13,salt
Solyc10g081980.2.1,9,salt
Solyc10g084400.2.1,1,salt
Solyc11g006720.2.1,9,salt
Solyc11g018680.1.1,1,salt
Solyc11g056650.2.1,11,salt
Solyc11g072500.2.1,9,salt
Solyc12g006380.2.1,11,salt
Solyc12g007070.2.1,10,salt
Solyc12g013620.2.1,10,salt
Solyc12g019740.2.1,11,salt
Solyc12g098900.2.1,10,salt
Solyc01g081570.3.1,0,salt
Solyc01g087740.1.1,12,salt
Solyc01g087850.2.1,12,salt
Solyc01g102310.3.1,10,salt
Solyc01g102700.4.1,5,salt
Solyc01g106910.4.1,10,salt
Solyc01g109660.2.1,16,salt
Solyc02g070000.4.1,5,salt
Solyc02g086454.2.1,16,salt
Solyc02g086452.1.1,16,salt
Solyc02g086458.2.1,16,salt
Solyc02g088220.3.1,1,salt
Solyc02g088390.4.1,9,salt
Solyc02g091840.3.1,16,salt
Solyc03g007760.3.1,5,salt
Solyc03g032040.3.1,1,salt
Solyc03g083560.1.1,1,salt
Solyc03g093410.3.1,1,salt
Solyc03g095780.3.1,6,salt
Solyc03g096800.4.1,10,salt
Solyc03g111970.4.1,1,salt
Solyc03g123410.1.1,8,salt
Solyc04g007200.4.1,3,salt
Solyc04g011500.3.1,0,salt
Solyc04g076190.1.1,7,salt
Solyc04g082480.3.1,2,salt
Solyc05g009820.5.1,1,salt
Solyc05g012790.4.1,5,salt
Solyc05g013880.2.1,9,salt
Solyc05g054620.4.1,2,salt
Solyc05g054860.1.1,10,salt
Solyc06g007170.4.1,7,salt
Solyc06g050500.2.1,6,salt
Solyc06g061230.3.1,13,salt
Solyc07g005540.1.1,5,salt
Solyc07g005950.5.1,5,salt
Solyc07g009380.5.1,10,salt
Solyc07g041730.4.1,1,salt
Solyc07g042510.3.1,1,salt
Solyc07g047770.4.1,3,salt
Solyc07g053540.1.1,9,salt
Solyc07g062680.3.1,9,salt
Solyc08g005240.3.1,9,salt
Solyc08g005580.3.1,1,salt
Solyc08g067240.4.1,3,salt
