"GO.ID","Term","Annotated","Significant","Expected","classicFisher","q_value"
"GO:0050896","response to stimulus",17671,97,70.57,1.3e-06,0.000128158333333333
"GO:0009409","response to cold",1084,17,4.33,1.6e-06,0.00015347027027027
"GO:0032870","cellular response to hormone stimulus",1933,23,7.72,2.4e-06,0.000224147368421053
"GO:0009755","hormone-mediated signaling pathway",1829,22,7.3,3.4e-06,0.0003094
"GO:0071396","cellular response to lipid",1302,18,5.2,4.5e-06,0.000398180487804878
"GO:1901701","cellular response to oxygen-containing c...",2013,23,8.04,4.6e-06,0.000398180487804878
"GO:0071495","cellular response to endogenous stimulus",2085,23,8.33,8.2e-06,0.0006929
"GO:0070887","cellular response to chemical stimulus",3232,30,12.91,8.8e-06,0.000726306976744186
"GO:0051259","protein complex oligomerization",129,6,0.52,1.4e-05,0.00112922727272727
"GO:0000303","response to superoxide",77,5,0.31,1.5e-05,0.001183
"GO:0071310","cellular response to organic substance",2494,25,9.96,1.6e-05,0.0012344347826087
"GO:1903792","negative regulation of anion transport",14,3,0.06,2.2e-05,0.00166123404255319
"GO:0000305","response to oxygen radical",86,5,0.34,2.5e-05,0.0018484375
"GO:0043271","negative regulation of ion transport",17,3,0.07,4.1e-05,0.00296957142857143
"GO:0009611","response to wounding",777,12,3.1,6.9e-05,0.00489762
"GO:0009845","seed germination",460,9,1.84,1e-04,0.006825
"GO:0019752","carboxylic acid metabolic process",3678,30,14.69,1e-04,0.006825
"GO:0046395","carboxylic acid catabolic process",689,11,2.75,0.00011,0.00736584905660377
"GO:0009788","negative regulation of abscisic acid-act...",64,4,0.26,0.00013,0.00823875
"GO:1901420","negative regulation of response to alcoh...",64,4,0.26,0.00013,0.00823875
"GO:1905958","negative regulation of cellular response...",64,4,0.26,0.00013,0.00823875
"GO:0016054","organic acid catabolic process",711,11,2.84,0.00014,0.00842135593220339
"GO:0090351","seedling development",480,9,1.92,0.00014,0.00842135593220339
"GO:0006082","organic acid metabolic process",3931,31,15.7,0.00014,0.00842135593220339
"GO:0046686","response to cadmium ion",860,12,3.43,0.00018,0.010647
"GO:0051051","negative regulation of transport",28,3,0.11,0.00019,0.0108759677419355
"GO:0010431","seed maturation",295,7,1.18,0.00019,0.0108759677419355
"GO:0009062","fatty acid catabolic process",397,8,1.59,2e-04,0.011090625
"GO:0010038","response to metal ion",1146,14,4.58,2e-04,0.011090625
"GO:0051235","maintenance of location",211,6,0.84,0.00021,0.011466
"GO:0034976","response to endoplasmic reticulum stress",626,10,2.5,0.00022,0.0116534328358209
"GO:0043436","oxoacid metabolic process",3839,30,15.33,0.00022,0.0116534328358209
"GO:0071322","cellular response to carbohydrate stimul...",221,6,0.88,0.00027,0.0140916176470588
"GO:0072329","monocarboxylic acid catabolic process",425,8,1.7,0.00032,0.0164591304347826
"GO:0050826","response to freezing",148,5,0.59,0.00033,0.016731
"GO:0010029","regulation of seed germination",157,5,0.63,0.00043,0.0214939436619718
"GO:0010162","seed dormancy process",247,6,0.99,0.00049,0.0238220547945205
"GO:0022611","dormancy process",247,6,0.99,0.00049,0.0238220547945205
"GO:0032787","monocarboxylic acid metabolic process",2557,22,10.21,5e-04,0.0239797297297297
"GO:1900140","regulation of seedling development",167,5,0.67,0.00057,0.0269724
"GO:0044242","cellular lipid catabolic process",470,8,1.88,0.00062,0.0289523684210526
"GO:0010255","glucose mediated signaling pathway",10,2,0.04,7e-04,0.03185
"GO:0010344","seed oilbody biogenesis",10,2,0.04,7e-04,0.03185
"GO:0009757","hexose mediated signaling",12,2,0.05,0.00102,0.04524975
"GO:0009723","response to ethylene",764,10,3.05,0.00102,0.04524975
