target,hogs_with_deepest_levels
Solyc03g114160.1.1,HOG:C0244640->Magnoliopsida 
Solyc03g115230.3.1,HOG:C0885105->LUCA 
Solyc03g116390.5.1,HOG:C0221249->Pentapetalae 
Solyc03g116590.3.1,HOG:C0221674->Pentapetalae 
Solyc03g117800.4.1,HOG:C0669241->Eukaryota 
Solyc03g121880.5.1,HOG:C0183610->asterids 
Solyc03g122310.4.1,HOG:C0884950->LUCA 
Solyc03g123540.3.1,HOG:C0249098->Spermatophyta 
Solyc04g005250.4.1,HOG:C0232491->Mesangiospermae 
Solyc04g005380.3.1,HOG:C0221868->Pentapetalae 
Solyc04g006960.3.1,HOG:C0662869->Eukaryota 
Solyc04g007130.1.1,HOG:C0221894->Pentapetalae HOG:C0233133->Mesangiospermae 
Solyc04g011440.4.1,HOG:C0884704->LUCA 
Solyc04g014600.3.1,HOG:C0263125->Streptophyta 
Solyc04g015520.3.1,HOG:C0243662->Magnoliopsida 
Solyc04g072890.4.1,HOG:C0667922->Eukaryota HOG:C0231206->Pentapetalae 
Solyc04g076340.3.1,HOG:C0237605->Mesangiospermae 
Solyc04g077220.3.1,HOG:C0245518->Magnoliopsida 
Solyc04g078840.3.1,HOG:C0243562->Magnoliopsida 
Solyc04g079300.3.1,HOG:C0677336->Eukaryota 
Solyc04g081900.4.1,HOG:C0248022->Spermatophyta 
Solyc05g007950.5.1,HOG:C0669332->Eukaryota 
Solyc05g012210.4.1,HOG:C0221868->Pentapetalae 
Solyc05g160260.1.1,HOG:C0234471->Mesangiospermae 
Solyc05g015390.3.1,HOG:C0234471->Mesangiospermae 
Solyc05g015470.1.1,HOG:C0253133->Spermatophyta 
Solyc05g050220.3.1,HOG:C0243503->Magnoliopsida 
Solyc06g009050.3.1,HOG:C0247364->Spermatophyta 
Solyc06g050130.3.1,HOG:C0663500->Eukaryota 
Solyc06g050800.5.1,HOG:C0662946->Eukaryota 
Solyc06g050980.3.1,HOG:C0667830->Eukaryota 
Solyc06g052020.2.1,HOG:C0184055->asterids 
Solyc06g060840.1.1,HOG:C0259029->Embryophyta 
Solyc06g065050.2.1,HOG:C0245433->Magnoliopsida 
Solyc06g066600.3.1,HOG:C0663179->Eukaryota 
Solyc06g067980.3.1,HOG:C0180655->Solanaceae 
Solyc06g071750.3.1,HOG:C0180186->Solanaceae 
Solyc06g072430.3.1,HOG:C0221901->Pentapetalae HOG:C0178390->Solanum 
Solyc06g074260.4.1,HOG:C0245292->Magnoliopsida 
Solyc06g074940.5.1,HOG:C0662869->Eukaryota 
Solyc06g076400.3.1,HOG:C0223357->Pentapetalae 
Solyc06g076520.1.1,HOG:C0248601->Spermatophyta 
Solyc06g076560.2.1,HOG:C0248601->Spermatophyta 
Solyc06g076570.4.1,HOG:C0248601->Spermatophyta 
Solyc06g076670.3.1,HOG:C0244335->Magnoliopsida 
Solyc06g082440.1.1,HOG:C0184096->asterids 
Solyc06g084170.3.1,HOG:C0178994->Solanum 
Solyc06g084320.1.1,HOG:C0244775->Magnoliopsida 
Solyc07g005210.3.1,HOG:C0665259->Eukaryota 
Solyc07g006130.3.1,HOG:C0884637->LUCA 
Solyc07g006140.4.1,HOG:C0662959->Eukaryota 
Solyc07g006860.3.1,HOG:C0242904->Mesangiospermae HOG:C0223940->Pentapetalae HOG:C0221638->Pentapetalae 
Solyc07g040990.4.1,HOG:C0182446->lamiids HOG:C0183610->asterids 
Solyc07g043590.3.1,HOG:C0662917->Eukaryota 
Solyc07g045140.4.1,HOG:C0263951->Streptophyta HOG:C0223184->Pentapetalae 
Solyc07g150145.2.1,
Solyc07g053550.3.1,HOG:C0244445->Magnoliopsida 
Solyc07g054270.3.1,HOG:C0247728->Spermatophyta 
Solyc07g055660.2.1,HOG:C0253121->Spermatophyta 
Solyc07g055840.3.1,HOG:C0884814->LUCA 
Solyc07g056430.3.1,HOG:C0238437->Mesangiospermae HOG:C0247804->Spermatophyta 
Solyc07g062530.3.1,HOG:C0886591->LUCA 
Solyc07g062970.3.1,HOG:C0891475->LUCA 
Solyc08g062220.3.1,HOG:C0225379->Pentapetalae 
Solyc08g062340.3.1,HOG:C0261474->Streptophytina 
Solyc08g075020.3.1,HOG:C0665263->Eukaryota 
Solyc08g076880.3.1,HOG:C0224271->Pentapetalae 
Solyc08g078040.4.1,HOG:C0671820->Eukaryota 
Solyc08g078160.3.1,HOG:C0259029->Embryophyta 
Solyc08g080940.3.1,HOG:C0663451->Eukaryota 
Solyc08g083130.5.1,HOG:C0184462->asterids HOG:C0183793->asterids 
Solyc09g007270.3.1,HOG:C0663577->Eukaryota 
Solyc09g011370.3.1,HOG:C0260611->Embryophyta 
Solyc09g015670.3.1,HOG:C0264208->Viridiplantae 
Solyc09g064820.1.1,HOG:C0244775->Magnoliopsida 
Solyc09g065560.3.1,HOG:C0662867->Eukaryota 
Solyc09g089650.1.1,HOG:C0221690->Pentapetalae 
Solyc09g091030.3.1,HOG:C0891116->LUCA 
Solyc09g098590.4.1,
Solyc10g008040.5.1,HOG:C0178331->Solanum 
Solyc10g075070.3.1,HOG:C0182332->lamiids HOG:C0233375->Mesangiospermae 
Solyc10g078770.2.1,HOG:C0233928->Mesangiospermae 
Solyc10g079150.3.1,HOG:C0180221->Solanaceae 
Solyc10g081980.2.1,HOG:C0232092->Mesangiospermae 
Solyc10g084400.2.1,HOG:C0231404->Pentapetalae HOG:C0263259->Streptophyta HOG:C0667833->Eukaryota 
Solyc11g006720.2.1,HOG:C0234272->Mesangiospermae 
Solyc11g018680.1.1,HOG:C0662869->Eukaryota 
Solyc11g056650.2.1,HOG:C0184397->asterids 
Solyc11g072500.2.1,HOG:C0234842->Mesangiospermae 
Solyc12g006380.2.1,HOG:C0183589->asterids HOG:C0179271->Solanoideae 
Solyc12g007070.2.1,HOG:C0222298->Pentapetalae 
Solyc12g013620.2.1,HOG:C0221432->Pentapetalae 
Solyc12g019740.2.1,HOG:C0183693->asterids 
Solyc12g098900.2.1,HOG:C0221495->Pentapetalae 
Solyc01g081570.3.1,HOG:C0893153->LUCA 
Solyc01g087740.1.1,HOG:C0182367->lamiids 
Solyc01g087850.2.1,HOG:C0182367->lamiids 
Solyc01g102310.3.1,HOG:C0221419->Pentapetalae 
Solyc01g102700.4.1,HOG:C0258263->Embryophyta 
Solyc01g106910.4.1,HOG:C0222279->Pentapetalae 
Solyc01g109660.2.1,
Solyc02g070000.4.1,HOG:C0258149->Embryophyta 
Solyc02g086454.2.1,TIMEOUT
Solyc02g086452.1.1,TIMEOUT
Solyc02g086458.2.1,TIMEOUT
Solyc02g088220.3.1,HOG:C0228723->Pentapetalae HOG:C0664911->Eukaryota 
Solyc02g088390.4.1,HOG:C0231804->Mesangiospermae 
Solyc02g091840.3.1,TIMEOUT
Solyc03g007760.3.1,HOG:C0260666->Embryophyta 
Solyc03g032040.3.1,HOG:C0685801->Eukaryota 
Solyc03g083560.1.1,HOG:C0685691->Eukaryota 
Solyc03g093410.3.1,HOG:C0687754->Eukaryota 
Solyc03g095780.3.1,HOG:C0256036->Tracheophyta 
Solyc03g096800.4.1,HOG:C0226822->Pentapetalae 
Solyc03g111970.4.1,HOG:C0662959->Eukaryota 
Solyc03g123410.1.1,HOG:C0246220->Magnoliopsida 
Solyc04g007200.4.1,HOG:C0263693->Streptophyta 
Solyc04g011500.3.1,HOG:C0884733->LUCA 
Solyc04g076190.1.1,HOG:C0247382->Spermatophyta 
Solyc04g082480.3.1,HOG:C0265869->Viridiplantae 
Solyc05g009820.5.1,HOG:C0666095->Eukaryota 
Solyc05g012790.4.1,HOG:C0258950->Embryophyta 
Solyc05g013880.2.1,HOG:C0232868->Mesangiospermae 
Solyc05g054620.4.1,HOG:C0264318->Viridiplantae 
Solyc05g054860.1.1,HOG:C0221975->Pentapetalae 
Solyc06g007170.4.1,HOG:C0247427->Spermatophyta HOG:C0248172->Spermatophyta 
Solyc06g050500.2.1,HOG:C0256036->Tracheophyta 
Solyc06g061230.3.1,HOG:C0180651->Solanaceae 
Solyc07g005540.1.1,HOG:C0258078->Embryophyta 
Solyc07g005950.5.1,HOG:C0258791->Embryophyta 
Solyc07g009380.5.1,HOG:C0223940->Pentapetalae 
Solyc07g041730.4.1,HOG:C0663144->Eukaryota 
Solyc07g042510.3.1,HOG:C0663983->Eukaryota 
Solyc07g047770.4.1,HOG:C0263010->Streptophyta 
Solyc07g053540.1.1,HOG:C0232300->Mesangiospermae 
Solyc07g062680.3.1,HOG:C0232309->Mesangiospermae 
Solyc08g005240.3.1,HOG:C0232061->Mesangiospermae 
Solyc08g005580.3.1,HOG:C0662869->Eukaryota 
Solyc08g067240.4.1,HOG:C0262433->Streptophyta 
Solyc08g078950.3.1,HOG:C0666034->Eukaryota 
Solyc09g018230.1.1,HOG:C0244649->Magnoliopsida 
Solyc09g066100.3.1,HOG:C0671305->Eukaryota 
Solyc09g075560.1.1,HOG:C0666095->Eukaryota 
Solyc09g090680.3.1,HOG:C0243509->Magnoliopsida 
Solyc10g076410.1.1,HOG:C0256036->Tracheophyta 
Solyc10g079700.2.1,HOG:C0232579->Mesangiospermae HOG:C0243944->Magnoliopsida 
Solyc10g085310.1.1,HOG:C0256036->Tracheophyta 
Solyc11g005190.3.1,HOG:C0671799->Eukaryota 
Solyc11g008960.3.1,HOG:C0248031->Spermatophyta 
Solyc11g051160.2.1,HOG:C0685835->Eukaryota 
Solyc11g069020.4.1,HOG:C0182269->lamiids 
Solyc12g006980.2.1,HOG:C0248129->Spermatophyta 
Solyc12g009650.2.1,HOG:C0183992->asterids 
Solyc12g100010.1.1,HOG:C0179592->Solanoideae 
